,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
1106,Yes,46,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.0,0
3422,Yes,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.8,0
1036,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,85.05,0
2094,Yes,1,No,No,DSL,No,No,Month-to-month,No,45.95,1
3036,No,72,Yes,Yes,DSL,No,Yes,Two year,Yes,79.35,0
348,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.9,0
4907,No,22,Yes,Yes,DSL,No,No,Month-to-month,No,59.0,1
1269,Yes,71,Yes,No,DSL,No,No,One year,Yes,66.2,0
1202,No,19,No,Yes,DSL,No,No,Month-to-month,Yes,39.7,0
1575,No,65,Yes,No,DSL,Yes,Yes,Two year,No,59.95,0
2376,No,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
4227,No,54,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,109.55,0
2474,No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.6,1
3020,No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.05,0
1003,Yes,72,No,No,Fiber optic,No,No,Two year,Yes,84.5,0
3509,No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,0
2029,No,64,Yes,No,Fiber optic,No,Yes,One year,Yes,96.9,0
1064,No,31,No,Yes,DSL,No,Yes,Month-to-month,Yes,71.05,0
1242,No,9,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.45,1
4272,No,64,No,No,Fiber optic,Yes,Yes,One year,No,102.1,0
3924,No,39,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.65,1
4674,No,72,No,Yes,Fiber optic,No,No,Two year,Yes,97.7,0
4534,Yes,50,No,No,DSL,Yes,Yes,One year,Yes,69.65,0
2695,No,12,Yes,No,Fiber optic,No,Yes,Month-to-month,No,80.85,1
4485,No,60,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,109.45,0
671,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,92.4,0
2713,No,27,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,84.8,0
577,No,4,No,No,DSL,No,No,Month-to-month,No,45.65,1
2459,No,60,Yes,No,Fiber optic,No,No,One year,Yes,101.4,0
2610,No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,0
2073,No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,114.3,0
87,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,0
1315,Yes,57,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.1,0
2965,Yes,17,Yes,No,Fiber optic,Yes,No,Month-to-month,No,94.4,1
3955,No,31,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,72.45,0
839,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.15,1
1572,No,57,Yes,No,DSL,Yes,No,Month-to-month,Yes,53.75,0
3432,Yes,2,No,No,DSL,No,No,Month-to-month,Yes,44.5,0
760,No,49,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.85,1
3769,No,72,Yes,Yes,DSL,Yes,Yes,Two year,No,74.4,0
3365,Yes,2,No,Yes,DSL,No,No,Month-to-month,Yes,30.25,0
2542,No,55,No,No,DSL,Yes,Yes,Month-to-month,Yes,54.55,1
2769,Yes,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.35,0
4271,No,43,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,94.3,0
1889,No,43,No,Yes,Fiber optic,Yes,No,Two year,Yes,104.6,1
1825,No,60,No,Yes,Fiber optic,No,No,Month-to-month,No,89.45,0
545,No,5,Yes,Yes,Fiber optic,No,No,Month-to-month,No,80.7,0
4139,Yes,68,No,Yes,Fiber optic,Yes,No,Two year,Yes,84.4,0
2198,No,71,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,108.05,1
1045,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,83.85,1
1336,No,5,Yes,No,DSL,No,Yes,Month-to-month,Yes,64.35,0
4425,Yes,18,No,No,DSL,Yes,Yes,One year,Yes,54.4,0
1859,No,42,No,Yes,DSL,No,Yes,One year,No,33.55,1
2513,No,70,No,Yes,DSL,Yes,Yes,One year,Yes,51.05,0
3641,Yes,30,No,No,DSL,No,No,Month-to-month,Yes,44.5,0
1372,No,31,No,No,Fiber optic,No,No,Month-to-month,Yes,73.9,1
3824,Yes,64,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.9,0
4857,No,16,Yes,No,DSL,No,No,Month-to-month,Yes,38.9,0
1514,No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.2,1
2162,No,30,No,No,DSL,Yes,No,Two year,No,74.85,0
57,No,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.8,0
1061,No,40,Yes,No,Fiber optic,Yes,No,One year,No,105.75,0
3095,Yes,57,Yes,No,DSL,Yes,Yes,One year,Yes,59.3,0
1354,No,16,No,No,DSL,No,Yes,Month-to-month,No,59.4,1
4366,No,57,No,No,Fiber optic,Yes,No,Two year,Yes,95.25,1
556,No,6,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.1,0
1201,No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,0
2423,Yes,64,No,Yes,DSL,No,No,One year,Yes,53.85,0
1218,Yes,65,Yes,No,Fiber optic,Yes,Yes,Two year,No,109.3,0
3945,No,4,Yes,Yes,DSL,No,No,Month-to-month,No,54.7,0
1020,Yes,1,Yes,No,DSL,No,No,Month-to-month,No,51.2,0
1521,No,3,No,Yes,DSL,No,No,Month-to-month,Yes,50.6,1
70,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.95,1
1486,Yes,24,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.1,0
1987,No,10,No,No,Fiber optic,No,No,Month-to-month,Yes,70.0,1
1864,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.25,0
640,Yes,34,No,No,Fiber optic,Yes,No,Month-to-month,No,87.45,1
4383,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,100.65,0
3845,No,13,Yes,No,Fiber optic,No,No,Month-to-month,Yes,73.75,0
2411,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.45,0
1115,No,46,No,No,DSL,Yes,Yes,One year,No,33.7,0
1722,Yes,13,Yes,No,DSL,No,No,Month-to-month,Yes,49.95,0
1019,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,113.65,0
565,No,1,No,No,DSL,No,No,Month-to-month,Yes,44.45,1
3521,No,1,No,No,DSL,No,No,Month-to-month,Yes,54.65,0
1365,No,15,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,83.05,1
2548,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,85.35,1
2730,Yes,61,Yes,Yes,Fiber optic,No,No,One year,Yes,106.0,1
4831,Yes,20,No,No,Fiber optic,No,No,Month-to-month,Yes,90.2,1
4505,Yes,39,Yes,No,DSL,No,No,Month-to-month,No,51.05,0
2095,No,19,No,Yes,DSL,Yes,No,Month-to-month,Yes,34.3,0
100,No,1,No,Yes,Fiber optic,No,Yes,Month-to-month,No,91.7,1
1853,Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.05,0
4829,Yes,35,No,No,DSL,No,No,Month-to-month,No,50.15,0
3250,No,51,Yes,Yes,Fiber optic,No,No,One year,Yes,94.8,1
2580,No,18,No,Yes,Fiber optic,Yes,No,Month-to-month,No,101.3,0
3163,No,55,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,81.55,0
2770,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.45,0
3032,No,57,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.85,0
3788,No,67,Yes,Yes,DSL,No,Yes,Two year,Yes,50.95,0
2272,No,1,No,No,Fiber optic,Yes,No,Month-to-month,Yes,75.3,1
889,Yes,4,Yes,No,DSL,No,No,Month-to-month,No,49.35,1
2878,No,55,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,96.75,1
4844,No,51,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.0,0
2104,No,55,No,No,Fiber optic,Yes,Yes,Two year,No,88.8,0
3265,No,55,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.65,0
3748,No,13,No,No,Fiber optic,No,No,Month-to-month,Yes,95.05,1
4889,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,75.35,0
4641,Yes,57,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.75,0
3713,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.0,0
1629,No,35,No,No,Fiber optic,No,No,Month-to-month,Yes,86.45,1
3835,No,22,No,No,Fiber optic,No,No,Month-to-month,No,89.25,1
3406,Yes,11,Yes,No,DSL,No,No,Month-to-month,No,50.55,0
3152,No,14,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,0
2294,No,21,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.35,1
2932,Yes,51,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.95,0
4028,No,56,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.65,1
3214,No,19,No,Yes,DSL,No,Yes,One year,Yes,65.35,0
450,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,0
1083,No,72,Yes,Yes,DSL,Yes,No,Two year,Yes,82.65,0
1193,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,1
1378,No,21,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,99.15,0
4659,No,45,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,87.25,1
406,No,13,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,106.9,1
3811,No,23,No,No,Fiber optic,No,No,Month-to-month,No,75.6,1
1569,Yes,25,No,Yes,Fiber optic,No,No,Month-to-month,Yes,95.9,1
480,No,27,No,Yes,DSL,Yes,Yes,One year,No,78.2,0
3880,No,41,No,No,Fiber optic,Yes,Yes,One year,Yes,101.1,0
3514,No,52,Yes,Yes,DSL,No,No,One year,Yes,75.4,0
2854,No,20,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,55.0,0
291,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.9,1
4049,No,67,Yes,Yes,DSL,No,Yes,Two year,Yes,69.2,0
4515,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,89.85,0
4837,No,67,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.55,0
3209,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.2,1
2135,Yes,9,No,Yes,DSL,No,Yes,One year,Yes,65.6,0
3820,Yes,38,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.2,0
4267,Yes,69,Yes,No,Fiber optic,Yes,No,One year,No,84.45,0
2295,No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,0
2273,Yes,65,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.85,0
2153,No,8,No,Yes,DSL,No,No,Month-to-month,Yes,29.25,0
1918,No,22,No,Yes,Fiber optic,No,No,Month-to-month,Yes,78.85,0
2972,No,12,No,No,DSL,No,No,Month-to-month,Yes,45.0,0
2004,Yes,28,Yes,Yes,Fiber optic,No,No,One year,No,106.1,1
2962,Yes,70,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.15,0
836,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.85,0
3156,No,48,Yes,No,DSL,No,Yes,One year,Yes,70.95,0
3210,No,72,Yes,Yes,DSL,No,Yes,Two year,Yes,86.4,0
3386,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,91.3,1
1622,No,26,No,No,Fiber optic,No,Yes,Month-to-month,Yes,80.5,1
129,Yes,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.55,0
3147,No,22,No,No,Fiber optic,No,Yes,Month-to-month,Yes,90.5,1
739,No,17,No,No,Fiber optic,Yes,No,Month-to-month,Yes,76.65,1
2102,No,57,Yes,No,Fiber optic,No,No,Month-to-month,Yes,99.65,0
2617,No,14,No,No,DSL,Yes,Yes,Month-to-month,Yes,55.0,0
2843,Yes,33,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.5,1
1308,No,29,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,68.85,1
434,No,17,No,No,Fiber optic,No,No,Month-to-month,No,92.6,0
1936,Yes,68,Yes,Yes,DSL,No,Yes,Two year,Yes,86.5,0
1131,No,9,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.45,0
3578,Yes,24,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,0
2133,Yes,58,No,Yes,DSL,No,No,Month-to-month,Yes,66.8,0
4098,No,35,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,110.8,0
1264,Yes,1,No,No,DSL,No,No,Month-to-month,No,44.55,0
2623,Yes,37,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.8,0
89,No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,0
4412,Yes,23,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,99.85,1
518,Yes,71,No,Yes,Fiber optic,No,Yes,Two year,Yes,84.8,0
1563,Yes,70,No,Yes,DSL,Yes,Yes,One year,No,60.35,0
1475,Yes,46,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.95,0
1605,Yes,21,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,0
3115,No,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,81.15,0
3543,Yes,23,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.9,0
3997,Yes,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,0
3361,No,7,No,Yes,Fiber optic,No,No,One year,Yes,94.05,0
3976,Yes,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.7,1
3359,No,68,Yes,Yes,Fiber optic,No,No,One year,Yes,96.55,1
122,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.75,1
1720,Yes,34,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,0
242,No,31,No,No,Fiber optic,Yes,No,Month-to-month,No,88.65,0
2156,No,68,Yes,No,DSL,Yes,No,One year,Yes,54.45,0
711,No,51,No,Yes,DSL,No,No,Month-to-month,Yes,49.65,0
4775,Yes,70,No,Yes,Fiber optic,Yes,No,One year,Yes,106.5,0
4025,No,30,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,0
4290,No,2,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,80.45,0
2947,No,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.1,0
1017,No,50,No,Yes,Fiber optic,No,Yes,Two year,Yes,100.2,0
1984,No,49,Yes,No,DSL,No,No,Month-to-month,No,40.65,0
1991,Yes,63,No,Yes,Fiber optic,No,No,One year,Yes,91.35,0
4821,No,30,No,No,Fiber optic,Yes,No,Month-to-month,No,100.45,0
809,No,28,No,No,DSL,Yes,No,Month-to-month,Yes,29.75,0
3661,No,60,No,Yes,Fiber optic,Yes,No,One year,Yes,104.35,0
2316,No,20,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,0
3972,No,36,No,Yes,Fiber optic,Yes,No,One year,Yes,104.8,0
3799,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,0
4629,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.65,1
728,No,57,No,Yes,DSL,No,Yes,One year,Yes,54.65,0
316,No,2,No,No,DSL,Yes,Yes,Month-to-month,No,76.4,1
214,No,1,No,No,DSL,Yes,Yes,Month-to-month,No,62.05,1
3656,No,17,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,85.35,1
3364,No,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.55,0
4780,Yes,30,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,83.55,0
982,No,72,Yes,No,DSL,Yes,Yes,Two year,Yes,84.9,0
881,Yes,48,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,105.25,0
3887,No,71,No,Yes,DSL,Yes,Yes,Two year,Yes,61.4,0
4559,Yes,37,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.35,0
4794,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.15,0
3756,No,1,No,No,DSL,No,No,Month-to-month,Yes,55.3,0
585,No,16,No,No,Fiber optic,No,Yes,Month-to-month,Yes,89.05,1
4075,No,50,No,No,DSL,Yes,Yes,Two year,No,69.5,0
4500,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,75.5,1
3890,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,75.4,0
3005,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,92.5,1
4393,Yes,53,Yes,Yes,DSL,No,Yes,One year,No,62.85,0
2045,No,22,Yes,Yes,Fiber optic,No,No,Month-to-month,No,81.7,0
2801,No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.45,0
3686,Yes,58,No,Yes,Fiber optic,Yes,No,One year,Yes,105.2,0
4313,No,62,Yes,Yes,Fiber optic,No,No,One year,Yes,92.3,0
61,No,28,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,25.7,0
3378,No,1,No,No,DSL,No,Yes,Month-to-month,No,51.25,1
335,No,65,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,0
1867,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.3,0
4870,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,90.95,0
1985,No,64,No,Yes,DSL,Yes,Yes,Two year,Yes,68.3,0
2640,Yes,8,No,No,DSL,No,No,Month-to-month,Yes,45.45,0
2834,Yes,51,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
2155,Yes,67,Yes,No,DSL,Yes,Yes,Two year,Yes,60.4,0
543,No,54,Yes,Yes,DSL,No,Yes,One year,No,82.45,1
2691,No,23,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,90.0,0
1307,No,9,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,0
1698,No,69,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,26.3,0
3087,No,6,No,No,DSL,No,Yes,Month-to-month,Yes,49.5,0
2655,No,35,No,No,Fiber optic,No,No,Month-to-month,No,70.55,0
1072,No,38,Yes,No,Fiber optic,No,No,Month-to-month,Yes,83.45,0
4809,Yes,14,No,No,DSL,Yes,No,Month-to-month,Yes,59.8,0
3391,No,46,Yes,No,DSL,Yes,Yes,Two year,No,38.25,0
4120,No,37,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,0
4276,No,1,No,No,DSL,No,No,Month-to-month,Yes,53.55,1
3878,No,15,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,101.35,1
98,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,1
10,No,18,Yes,No,DSL,Yes,No,Month-to-month,No,33.6,0
75,Yes,59,No,Yes,Fiber optic,Yes,No,One year,Yes,106.15,0
2467,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,95.15,0
4410,No,8,No,No,Fiber optic,No,No,Month-to-month,No,70.7,0
2118,No,43,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.65,0
160,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,0
2820,No,19,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.75,0
2187,Yes,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.15,0
1305,No,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.4,0
2876,No,40,No,No,Fiber optic,No,No,Month-to-month,Yes,97.1,1
1935,No,8,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.0,0
1173,No,53,Yes,Yes,DSL,Yes,Yes,One year,Yes,53.6,0
3655,No,51,No,Yes,Fiber optic,No,No,Month-to-month,No,81.0,0
3489,No,26,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.3,0
2922,No,2,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.4,1
2144,No,41,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,74.65,0
3601,No,31,No,No,DSL,No,No,Month-to-month,Yes,59.05,0
2955,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.55,0
4374,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.7,0
3929,No,50,Yes,No,Fiber optic,Yes,No,Two year,Yes,105.05,0
850,No,3,No,Yes,DSL,No,No,Month-to-month,No,29.8,0
188,No,26,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.35,1
1664,No,27,No,Yes,DSL,No,Yes,Month-to-month,Yes,53.8,0
4256,No,1,No,No,DSL,No,No,Month-to-month,Yes,44.55,0
2862,No,11,No,Yes,Fiber optic,No,No,Month-to-month,Yes,75.9,0
3991,No,10,Yes,No,DSL,No,No,Month-to-month,No,29.75,0
3321,No,40,No,No,Fiber optic,No,Yes,Month-to-month,Yes,78.85,0
1249,No,68,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.3,1
4180,Yes,3,Yes,Yes,Fiber optic,No,No,Month-to-month,No,89.85,0
690,No,1,No,No,DSL,No,No,Month-to-month,Yes,56.25,1
2439,Yes,8,No,No,DSL,No,No,Month-to-month,No,25.5,1
3349,No,5,No,Yes,Fiber optic,Yes,No,Month-to-month,No,96.55,0
1916,No,1,No,Yes,DSL,No,Yes,Month-to-month,No,60.1,1
3277,No,40,No,Yes,DSL,No,No,Month-to-month,Yes,39.3,1
3913,No,13,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,1
1939,No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,21.05,1
3216,No,30,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.05,0
3528,No,2,No,No,DSL,No,No,Month-to-month,No,24.5,0
604,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,1
3474,No,5,No,No,DSL,No,No,Month-to-month,Yes,50.6,1
161,No,55,Yes,Yes,DSL,No,Yes,Two year,No,56.8,0
1843,No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.95,0
2971,No,2,No,No,DSL,No,Yes,Month-to-month,No,29.85,1
392,Yes,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,108.45,0
1407,Yes,11,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.0,0
1988,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.55,0
2855,No,9,Yes,No,Fiber optic,No,No,Month-to-month,No,75.6,0
273,Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,0
2678,Yes,1,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,0
547,No,64,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,108.95,0
2254,No,35,No,No,Fiber optic,No,No,Month-to-month,No,75.35,1
1163,No,15,No,No,Fiber optic,Yes,No,Month-to-month,Yes,84.3,1
2106,No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,0
2214,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.65,0
4447,No,6,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.6,0
2584,Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.2,0
4541,No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,111.3,0
651,Yes,43,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,110.75,1
1693,Yes,17,No,No,DSL,Yes,No,One year,Yes,55.85,1
1884,No,6,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,91.0,1
159,No,18,No,No,Fiber optic,No,No,Month-to-month,No,78.55,1
773,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,89.9,1
1000,Yes,20,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.85,1
2422,No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,84.35,0
1473,Yes,36,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.5,0
3779,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,81.1,1
3871,No,29,No,No,DSL,No,No,One year,Yes,24.85,0
4203,Yes,57,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.5,0
1150,No,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.25,0
932,Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,No,89.9,0
3642,No,67,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,118.35,1
4592,No,47,Yes,Yes,Fiber optic,No,No,One year,No,94.8,0
4000,No,43,Yes,Yes,DSL,No,Yes,Month-to-month,No,66.25,0
1506,Yes,67,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,108.75,1
49,No,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.6,0
2727,No,38,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,66.15,0
2549,No,1,No,No,DSL,No,No,Month-to-month,Yes,54.75,1
3293,No,45,No,Yes,Fiber optic,Yes,Yes,One year,Yes,98.7,0
433,Yes,66,Yes,Yes,DSL,Yes,Yes,Two year,No,79.4,1
3193,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.6,0
1792,No,47,No,No,Fiber optic,No,No,Month-to-month,Yes,86.05,0
4338,No,59,No,No,DSL,Yes,Yes,Month-to-month,Yes,64.65,0
2983,No,8,Yes,No,DSL,No,Yes,Two year,No,65.5,0
3765,Yes,8,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,0
4594,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,72.25,0
920,No,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,0
3311,No,53,No,Yes,Fiber optic,Yes,No,One year,Yes,100.3,0
4548,No,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,0
4811,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,75.45,1
3740,Yes,3,No,No,DSL,Yes,No,Month-to-month,Yes,50.15,1
4825,No,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.3,0
3418,Yes,10,No,No,Fiber optic,No,No,Month-to-month,No,95.2,1
3922,Yes,13,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,0
1296,No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,0
3175,Yes,6,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.4,0
204,No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
345,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,1
1509,No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,96.05,1
4470,No,61,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,111.6,1
2160,No,37,No,Yes,Fiber optic,Yes,No,One year,No,80.05,0
1482,No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.55,1
1543,No,22,No,Yes,DSL,Yes,No,One year,No,65.25,0
3317,Yes,25,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,0
4061,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.55,1
353,No,69,No,Yes,Fiber optic,No,No,One year,Yes,95.65,0
3176,Yes,40,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,71.35,0
